Time (s),% Prims Clipped,% Prims Trivially Rejected,% Stalled on System Memory,% Texture L2 Miss,% Vertex Fetch Stall,ALU / Fragment,ALU / Vertex,Average Polygon Area,Average Vertices / Polygon,Avg Bytes / Fragment,Avg Bytes / Vertex,Avg Preemption Delay,Clocks / Second,EFU / Fragment,EFU / Vertex,Fragment ALU Instructions / Sec (Full),Fragment ALU Instructions / Sec (Half),Fragment EFU Instructions / Second,Fragment Instructions / Second,Fragments Shaded / Second,GPU % Bus Busy,GPU Frequency,L1 Texture Cache Miss Per Pixel,Pre-clipped Polygons/Second,Preemptions / second,Read Total (Bytes/sec),Reused Vertices / Second,SP Memory Read (Bytes/Second),Texture Memory Read BW (Bytes/Second),Textures / Fragment,Textures / Vertex,Vertex Instructions / Second,Vertex Memory Read (Bytes/Second),Vertices Shaded / Second,Write Total (Bytes/sec),app_gpu_ms,app_rss_mb,app_uss_mb,app_vss_mb,application_layer_count,application_prediction_milliseconds,available_memory_mb,cpu-cycles,cpu_frequency_mhz,cpu_level,cpu_util_0,cpu_util_1,cpu_util_2,cpu_util_3,cpu_util_4,cpu_util_5,display_refresh_rate,gpu_frequency_mhz,gpu_level,gpu_util,mem_frequency_mhz,screen_tears_per_second,stale_frames_per_second,timewarp_gpu_ms
7.02,0.8100267060633215,30.06091363089425,0.1461915224790573,22.406156539916992,0.7607637047767639,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,25.202550888061523,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12228372.0,165957.9375,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2750.0,5698353916.0,1920.0,3.0,70.0,67.0,75.0,64.0,60.0,46.0,90.0,545.0,2.0,36.3944947719574,2736.0,1.0,9.0,2.766752958297729
7.03,0.8100267060633215,30.06091363089425,0.1461915224790573,22.406156539916992,0.7607637047767639,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,25.202550888061523,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12228372.0,165957.9375,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2750.0,5781277443.0,1920.0,3.0,70.0,67.0,75.0,64.0,60.0,46.0,90.0,545.0,2.0,36.3944947719574,2736.0,1.0,9.0,2.766752958297729
7.04,0.8100267060633215,30.06091363089425,0.1461915224790573,22.406156539916992,0.7607637047767639,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,25.202550888061523,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12228372.0,165957.9375,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2750.0,9052108437.0,1920.0,3.0,70.0,67.0,75.0,64.0,60.0,46.0,90.0,545.0,2.0,36.3944947719574,2736.0,1.0,9.0,2.766752958297729
7.05,0.8100267060633215,30.06091363089425,0.1461915224790573,22.406156539916992,0.7607637047767639,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,25.202550888061523,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12228372.0,165957.9375,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2750.0,9078236998.0,1920.0,3.0,70.0,67.0,75.0,64.0,60.0,46.0,90.0,545.0,2.0,36.3944947719574,2736.0,1.0,9.0,2.766752958297729
7.06,0.8100267060633215,30.06091363089425,0.1461915224790573,22.406156539916992,0.7607637047767639,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,25.202550888061523,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12228372.0,165957.9375,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2750.0,6290576117.0,1920.0,3.0,70.0,67.0,75.0,64.0,60.0,46.0,90.0,545.0,2.0,36.3944947719574,2736.0,1.0,9.0,2.766752958297729
7.07,0.8100267060633215,30.06091363089425,0.1461915224790573,22.406156539916992,0.7607637047767639,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,25.202550888061523,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12228372.0,165957.9375,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2750.0,7356931604.0,1920.0,3.0,70.0,67.0,75.0,64.0,60.0,46.0,90.0,545.0,2.0,36.3944947719574,2736.0,1.0,9.0,2.766752958297729
7.08,0.8100267060633215,30.06091363089425,0.1461915224790573,22.406156539916992,0.7607637047767639,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,25.202550888061523,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12228372.0,165957.9375,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2750.0,5893905449.0,1920.0,3.0,70.0,67.0,75.0,64.0,60.0,46.0,90.0,545.0,2.0,36.3944947719574,2736.0,1.0,9.0,2.766752958297729
7.09,0.8100267060633215,30.06091363089425,0.1461915224790573,22.406156539916992,0.7607637047767639,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,25.202550888061523,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12228372.0,165957.9375,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2750.0,7767013476.5,1920.0,3.0,70.0,67.0,75.0,64.0,60.0,46.0,90.0,545.0,2.0,36.3944947719574,2736.0,1.0,9.0,2.766752958297729
7.11,0.8100267060633215,30.06091363089425,0.1461915224790573,22.406156539916992,0.7607637047767639,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,25.202550888061523,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12228372.0,165957.9375,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2750.0,8470043099.0,1920.0,3.0,70.0,67.0,75.0,64.0,60.0,46.0,90.0,545.0,2.0,36.3944947719574,2736.0,1.0,9.0,2.766752958297729
7.12,0.8100267060633215,30.06091363089425,0.1461915224790573,25.067577362060547,0.7333163619041443,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,21.68439102172852,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12940872.0,165957.9375,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2750.0,7053965782.0,1920.0,3.0,70.0,67.0,75.0,64.0,60.0,46.0,90.0,545.0,2.0,36.3944947719574,2736.0,1.0,9.0,2.766752958297729
7.13,0.8100267060633215,30.06091363089425,0.1461915224790573,25.067577362060547,0.7333163619041443,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,21.68439102172852,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12940872.0,165957.9375,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2750.0,6857059073.0,1920.0,3.0,70.0,67.0,75.0,64.0,60.0,46.0,90.0,545.0,2.0,36.3944947719574,2736.0,1.0,9.0,2.766752958297729
7.14,0.8100267060633215,30.06091363089425,0.1461915224790573,25.067577362060547,0.7333163619041443,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,21.68439102172852,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12940872.0,165957.9375,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2750.0,6261185031.0,1920.0,3.0,70.0,67.0,75.0,64.0,60.0,46.0,90.0,545.0,2.0,36.3944947719574,2736.0,1.0,9.0,2.766752958297729
7.16,0.8100267060633215,30.06091363089425,0.1461915224790573,25.067577362060547,0.7333163619041443,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,21.68439102172852,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12940872.0,165957.9375,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2750.0,6515422877.0,1920.0,3.0,70.0,67.0,75.0,64.0,60.0,46.0,90.0,545.0,2.0,36.3944947719574,2736.0,1.0,9.0,2.766752958297729
7.17,0.8100267060633215,30.06091363089425,0.1461915224790573,25.067577362060547,0.7333163619041443,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,21.68439102172852,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12940872.0,165957.9375,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2750.0,6093391132.0,1920.0,3.0,70.0,67.0,75.0,64.0,60.0,46.0,90.0,545.0,2.0,36.3944947719574,2736.0,1.0,9.0,2.766752958297729
7.18,0.8100267060633215,30.06091363089425,0.1461915224790573,25.067577362060547,0.7333163619041443,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,21.68439102172852,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12940872.0,165957.9375,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2750.0,6121466698.0,1920.0,3.0,70.0,67.0,75.0,64.0,60.0,46.0,90.0,545.0,2.0,36.3944947719574,2736.0,1.0,9.0,2.766752958297729
7.19,0.8100267060633215,30.06091363089425,0.1461915224790573,25.067577362060547,0.7333163619041443,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,21.68439102172852,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12940872.0,165957.9375,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2750.0,7000223737.5,1920.0,3.0,70.0,67.0,75.0,64.0,60.0,46.0,90.0,545.0,2.0,36.3944947719574,2736.0,1.0,9.0,2.766752958297729
7.2,0.8100267060633215,30.06091363089425,0.1461915224790573,25.067577362060547,0.7333163619041443,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,21.68439102172852,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12940872.0,165957.9375,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2750.0,7406285114.0,1920.0,3.0,70.0,67.0,75.0,64.0,60.0,46.0,90.0,545.0,2.0,36.3944947719574,2736.0,1.0,9.0,2.766752958297729
7.21,0.8100267060633215,30.06091363089425,0.1461915224790573,25.067577362060547,0.7333163619041443,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,21.68439102172852,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12940872.0,165957.9375,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2750.0,8742343054.0,1920.0,3.0,70.0,67.0,75.0,64.0,60.0,46.0,90.0,545.0,2.0,36.3944947719574,2736.0,1.0,9.0,2.766752958297729
7.22,0.8100267060633215,30.06091363089425,0.1461915224790573,26.19710731506348,0.7859789133071899,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,14.42426586151123,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12698527.0,165957.9375,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2750.0,6434189292.5,1920.0,3.0,70.0,67.0,75.0,64.0,60.0,46.0,90.0,545.0,2.0,36.3944947719574,2736.0,1.0,9.0,2.766752958297729
7.23,0.8100267060633215,30.06091363089425,0.1461915224790573,26.19710731506348,0.7859789133071899,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,14.42426586151123,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12698527.0,165957.9375,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2750.0,7728554323.5,1920.0,3.0,70.0,67.0,75.0,64.0,60.0,46.0,90.0,545.0,2.0,36.3944947719574,2736.0,1.0,9.0,2.766752958297729
7.24,0.8100267060633215,30.06091363089425,0.1461915224790573,26.19710731506348,0.7859789133071899,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,14.42426586151123,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12698527.0,165957.9375,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2750.0,6263175053.0,1920.0,3.0,70.0,67.0,75.0,64.0,60.0,46.0,90.0,545.0,2.0,36.3944947719574,2736.0,1.0,9.0,2.766752958297729
7.26,0.8100267060633215,30.06091363089425,0.1461915224790573,26.19710731506348,0.7859789133071899,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,14.42426586151123,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12698527.0,165957.9375,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2750.0,6749795378.0,1920.0,3.0,70.0,67.0,75.0,64.0,60.0,46.0,90.0,545.0,2.0,36.3944947719574,2736.0,1.0,9.0,2.766752958297729
7.27,0.8100267060633215,30.06091363089425,0.1461915224790573,26.19710731506348,0.7859789133071899,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,14.42426586151123,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12698527.0,165957.9375,6.972110748291016,267.0,46.0,7709.0,1.0,23.74246406555176,2750.0,6778827056.0,1920.0,3.0,70.0,67.0,75.0,64.0,60.0,46.0,90.0,545.0,2.0,36.3944947719574,2736.0,1.0,9.0,2.766752958297729
7.28,0.8100267060633215,30.06091363089425,0.1461915224790573,26.19710731506348,0.7859789133071899,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,14.42426586151123,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12698527.0,165957.9375,1.5300120115280151,1144.0,448.0,12246.0,7.0,26.53221702575684,2750.0,7594213439.0,1920.0,3.0,67.0,66.0,70.0,60.0,63.0,57.0,90.0,545.0,2.0,38.55204880237579,2736.0,1.0,1.0,2.607608795166016
7.3,0.8100267060633215,30.06091363089425,0.1461915224790573,26.19710731506348,0.7859789133071899,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,14.42426586151123,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12698527.0,165957.9375,1.5300120115280151,1144.0,448.0,12246.0,7.0,26.53221702575684,2750.0,8086379290.0,1920.0,3.0,67.0,66.0,70.0,60.0,63.0,57.0,90.0,545.0,2.0,38.55204880237579,2736.0,1.0,1.0,2.607608795166016
7.31,0.8100267060633215,30.06091363089425,0.1461915224790573,26.19710731506348,0.7859789133071899,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,14.42426586151123,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12698527.0,165957.9375,1.5300120115280151,1144.0,448.0,12246.0,7.0,26.53221702575684,2750.0,6865861564.0,1920.0,3.0,67.0,66.0,70.0,60.0,63.0,57.0,90.0,545.0,2.0,38.55204880237579,2736.0,1.0,1.0,2.607608795166016
7.32,0.8100267060633215,30.06091363089425,0.1461915224790573,28.303340911865234,0.5133057832717896,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,10.680861473083496,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12276943.0,165957.9375,1.5300120115280151,1144.0,448.0,12246.0,7.0,26.53221702575684,2750.0,8146251890.0,1920.0,3.0,67.0,66.0,70.0,60.0,63.0,57.0,90.0,545.0,2.0,38.55204880237579,2736.0,1.0,1.0,2.607608795166016
7.33,0.8100267060633215,30.06091363089425,0.1461915224790573,28.303340911865234,0.5133057832717896,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,10.680861473083496,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12276943.0,165957.9375,1.5300120115280151,1144.0,448.0,12246.0,7.0,26.53221702575684,2750.0,8890991023.0,1920.0,3.0,67.0,66.0,70.0,60.0,63.0,57.0,90.0,545.0,2.0,38.55204880237579,2736.0,1.0,1.0,2.607608795166016
7.34,0.8100267060633215,30.06091363089425,0.1461915224790573,28.303340911865234,0.5133057832717896,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,10.680861473083496,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12276943.0,165957.9375,1.5300120115280151,1144.0,448.0,12246.0,7.0,26.53221702575684,2750.0,7650327740.0,1920.0,3.0,67.0,66.0,70.0,60.0,63.0,57.0,90.0,545.0,2.0,38.55204880237579,2736.0,1.0,1.0,2.607608795166016
7.35,0.8100267060633215,30.06091363089425,0.1461915224790573,28.303340911865234,0.5133057832717896,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,10.680861473083496,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12276943.0,165957.9375,1.5300120115280151,1144.0,448.0,12246.0,7.0,26.53221702575684,2750.0,6951505950.0,1920.0,3.0,67.0,66.0,70.0,60.0,63.0,57.0,90.0,545.0,2.0,38.55204880237579,2736.0,1.0,1.0,2.607608795166016
7.36,0.8100267060633215,30.06091363089425,0.1461915224790573,28.303340911865234,0.5133057832717896,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,10.680861473083496,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12276943.0,165957.9375,1.5300120115280151,1144.0,448.0,12246.0,7.0,26.53221702575684,2750.0,8317058277.333333,1920.0,3.0,67.0,66.0,70.0,60.0,63.0,57.0,90.0,545.0,2.0,38.55204880237579,2736.0,1.0,1.0,2.607608795166016
7.38,0.8100267060633215,30.06091363089425,0.1461915224790573,28.303340911865234,0.5133057832717896,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,10.680861473083496,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12276943.0,165957.9375,1.5300120115280151,1144.0,448.0,12246.0,7.0,26.53221702575684,2750.0,6567067148.0,1920.0,3.0,67.0,66.0,70.0,60.0,63.0,57.0,90.0,545.0,2.0,38.55204880237579,2736.0,1.0,1.0,2.607608795166016
7.4,0.8100267060633215,30.06091363089425,0.1461915224790573,28.303340911865234,0.5133057832717896,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,10.680861473083496,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,12276943.0,165957.9375,1.5300120115280151,1144.0,448.0,12246.0,7.0,26.53221702575684,2750.0,7064941047.0,1920.0,3.0,67.0,66.0,70.0,60.0,63.0,57.0,90.0,545.0,2.0,38.55204880237579,2736.0,1.0,1.0,2.607608795166016
7.42,0.8100267060633215,30.06091363089425,0.1461915224790573,29.377790451049805,0.4974714815616607,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,2.581793546676636,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,11901753.0,165957.9375,1.5300120115280151,1144.0,448.0,12246.0,7.0,26.53221702575684,2750.0,8339994241.0,1920.0,3.0,67.0,66.0,70.0,60.0,63.0,57.0,90.0,545.0,2.0,38.55204880237579,2736.0,1.0,1.0,2.607608795166016
7.43,0.8100267060633215,30.06091363089425,0.1461915224790573,29.377790451049805,0.4974714815616607,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,2.581793546676636,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,11901753.0,165957.9375,1.5300120115280151,1144.0,448.0,12246.0,7.0,26.53221702575684,2750.0,6892057790.5,1920.0,3.0,67.0,66.0,70.0,60.0,63.0,57.0,90.0,545.0,2.0,38.55204880237579,2736.0,1.0,1.0,2.607608795166016
7.44,0.8100267060633215,30.06091363089425,0.1461915224790573,29.377790451049805,0.4974714815616607,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,2.581793546676636,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,11901753.0,165957.9375,1.5300120115280151,1144.0,448.0,12246.0,7.0,26.53221702575684,2750.0,8392616542.0,1920.0,3.0,67.0,66.0,70.0,60.0,63.0,57.0,90.0,545.0,2.0,38.55204880237579,2736.0,1.0,1.0,2.607608795166016
7.45,0.8100267060633215,30.06091363089425,0.1461915224790573,29.377790451049805,0.4974714815616607,-1.0,-1.0,-1.0,0.5437031814030239,-1.0,3.7372705595833913,2.581793546676636,545044416.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,100.0,545000000.0,-1.0,11587695.285714285,92.7520272391183,910847028.5714285,19574919.69642857,2600993.089285714,714464109.7142857,-1.0,-1.0,-1.0,73513356.57142857,11901753.0,165957.9375,1.5300120115280151,1144.0,448.0,12246.0,7.0,26.53221702575684,2750.0,7167717311.0,1920.0,3.0,67.0,66.0,70.0,60.0,63.0,57.0,90.0,545.0,2.0,38.55204880237579,2736.0,1.0,1.0,2.607608795166016
